scenario_id,model_id,observed_rule,excess_rule,number_double_high,jaccard_with_primary,profile_contrast_preserved,high_observed_high_excess_iso3
sdi_poly3_year_fe__top33_observed__top20_excess_rate,sdi_poly3_year_fe,top33_observed,top20_excess_rate,18,0.782608695652174,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TLS;TON;ZAF
sdi_poly3_year_fe__top33_observed__top33_log_excess_ratio,sdi_poly3_year_fe,top33_observed,top33_log_excess_ratio,17,0.7391304347826086,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TON;ZAF
sdi_poly3_year_fe__top33_observed__top25_log_excess_ratio,sdi_poly3_year_fe,top33_observed,top25_log_excess_ratio,16,0.6956521739130435,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;ZAF
sdi_poly3_year_fe__top33_observed__ratio_gt_1_2,sdi_poly3_year_fe,top33_observed,ratio_gt_1_2,17,0.7391304347826086,True,EGY;FJI;GUM;KEN;KWT;LBY;LSO;MHL;MUS;NIU;NRU;PAK;PHL;SYC;THA;TON;ZAF
sdi_poly3_year_fe__top33_observed__excess_rate_gt_0,sdi_poly3_year_fe,top33_observed,excess_rate_gt_0,26,0.8846153846153846,True,BOL;EGY;FJI;GUM;IND;KEN;KWT;LBY;LSO;MHL;MUS;NAM;NGA;NIU;NRU;PAK;PHL;PRK;PSE;SYC;THA;TLS;TON;TUV;WSM;ZAF
sdi_poly3_year_fe__top25_observed__top33_excess_rate,sdi_poly3_year_fe,top25_observed,top33_excess_rate,14,0.6086956521739131,True,IND;KEN;KWT;LSO;MHL;MUS;NGA;NRU;PAK;PHL;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top25_observed__top25_excess_rate,sdi_poly3_year_fe,top25_observed,top25_excess_rate,13,0.5652173913043478,True,KEN;KWT;LSO;MHL;MUS;NGA;NRU;PAK;PHL;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top25_observed__top20_excess_rate,sdi_poly3_year_fe,top25_observed,top20_excess_rate,12,0.5217391304347826,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top25_observed__top33_log_excess_ratio,sdi_poly3_year_fe,top25_observed,top33_log_excess_ratio,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
sdi_poly3_year_fe__top25_observed__top25_log_excess_ratio,sdi_poly3_year_fe,top25_observed,top25_log_excess_ratio,10,0.4347826086956521,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;ZAF
sdi_poly3_year_fe__top25_observed__ratio_gt_1_2,sdi_poly3_year_fe,top25_observed,ratio_gt_1_2,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;MUS;NRU;PAK;PHL;SYC;TON;ZAF
sdi_poly3_year_fe__top25_observed__excess_rate_gt_0,sdi_poly3_year_fe,top25_observed,excess_rate_gt_0,15,0.5833333333333334,True,IND;KEN;KWT;LSO;MHL;MUS;NGA;NRU;PAK;PHL;PRK;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top20_observed__top33_excess_rate,sdi_poly3_year_fe,top20_observed,top33_excess_rate,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;NGA;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top20_observed__top25_excess_rate,sdi_poly3_year_fe,top20_observed,top25_excess_rate,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;NGA;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top20_observed__top20_excess_rate,sdi_poly3_year_fe,top20_observed,top20_excess_rate,10,0.4347826086956521,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TLS;TON;ZAF
sdi_poly3_year_fe__top20_observed__top33_log_excess_ratio,sdi_poly3_year_fe,top20_observed,top33_log_excess_ratio,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_poly3_year_fe__top20_observed__top25_log_excess_ratio,sdi_poly3_year_fe,top20_observed,top25_log_excess_ratio,8,0.3478260869565217,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;ZAF
sdi_poly3_year_fe__top20_observed__ratio_gt_1_2,sdi_poly3_year_fe,top20_observed,ratio_gt_1_2,9,0.391304347826087,True,KEN;KWT;LSO;MHL;NRU;PAK;SYC;TON;ZAF
sdi_poly3_year_fe__top20_observed__excess_rate_gt_0,sdi_poly3_year_fe,top20_observed,excess_rate_gt_0,11,0.4782608695652174,True,KEN;KWT;LSO;MHL;NGA;NRU;PAK;SYC;TLS;TON;ZAF
